# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 27K of event 'L1-dcache-load-misses'
# Event count (approx.): 620524007
#
# Overhead  Command  Shared Object     Symbol                               
# ........  .......  ................  .....................................
#
     0.00%  app      [unknown]         [k] 0xffffffff83cba078
     0.00%  app      [unknown]         [k] 0xffffffff83b992c0
     0.00%  app      [unknown]         [k] 0xffffffff83bfe432
     0.00%  app      [unknown]         [k] 0xffffffff83bfe1dd
     0.00%  app      [unknown]         [k] 0xffffffff838d9396
     0.00%  app      [unknown]         [k] 0xffffffff840538b3
     0.00%  app      [unknown]         [k] 0xffffffff84b32238
     0.00%  app      [unknown]         [k] 0xffffffff83c37e6c
     0.00%  app      [unknown]         [k] 0xffffffff84b2026d
     0.00%  app      [unknown]         [k] 0xffffffff84b13126
     0.00%  app      [unknown]         [k] 0xffffffff838f7440
     0.00%  app      [unknown]         [k] 0xffffffff83bf4df9
     0.00%  app      [unknown]         [k] 0xffffffff83bc382e
     0.00%  app      [unknown]         [k] 0xffffffff83c2e5df
     0.00%  app      [unknown]         [k] 0xffffffff83c2de7a
     0.00%  app      [unknown]         [k] 0xffffffff83819202
     0.00%  perf-ex  [unknown]         [k] 0xffffffff84b34980
     0.00%  app      [unknown]         [k] 0xffffffff837b4a36
     0.00%  perf-ex  [unknown]         [k] 0xffffffff83b560f9
     0.00%  app      [unknown]         [k] 0xffffffff837b4398
     0.00%  app      [unknown]         [k] 0xffffffff837b91fe


#
# (Cannot load tips.txt file, please install perf!)
#
